"ApiID","CateID","IsPri"
"62825","20090","1"
"62825","20142","0"
"137896","20024","1"
"137896","20220","0"
"188519","20416","1"
"66680","20087","1"
"188519","20027","0"
"74816","20044","1"
"66680","20302","0"
"188519","20039","0"
"188519","20049","0"
"72456","20142","1"
"67666","20055","1"
"72456","20113","0"
"67666","20051","0"
"67666","20051","0"
"67666","20186","0"
"67666","20079","0"
"188519","20078","0"
"188519","20086","0"
"188519","20107","0"
"188519","20103","0"
"188519","20129","0"
"188519","20161","0"
"188519","20164","0"
"188519","20220","0"
"188519","19968","0"
"188519","20355","0"
"188519","20144","0"
"188519","20392","0"
"188519","20038","0"
"188519","20385","0"
"188519","20263","0"
"188519","20414","0"
"187656","20346","1"
"64411","20024","1"
"64411","20202","0"
"65205","20159","1"
"149959","20072","1"
"65205","20377","0"
"149959","20006","0"
"149959","20031","0"
"149959","20369","0"
"74326","20020","1"
"137955","20016","1"
"74326","20055","0"
"74326","20174","0"
"137955","20010","0"
"137955","20067","0"
"137955","20238","0"
"137955","19988","0"
"137955","20237","0"
"137955","20335","0"
"137955","20016","0"
"137955","20396","0"
"137955","20413","0"
"70793","20070","1"
"65277","20015","1"
"70793","20232","0"
"70793","20189","0"
"65277","19960","0"
"70793","20066","0"
"70793","19994","0"
"65552","19971","1"
"139748","20099","1"
"139748","20296","0"
"88373","20090","1"
"88373","20090","0"
"88373","20015","0"
"88373","20335","0"
"88373","20014","0"
"74585","20015","1"
"142602","20073","1"
"146653","20031","1"
"142602","20296","0"
"146653","20329","0"
"146653","20407","0"
"72524","19968","1"
"70842","20015","1"
"72524","20137","0"
"69631","20015","1"
"149960","20032","1"
"67397","20162","1"
"67397","19958","0"
"67397","20408","0"
"72524","20137","0"
"149960","20006","0"
"69631","20092","0"
"149960","20031","0"
"72524","19998","0"
"149960","20072","0"
"149960","20369","0"
"142601","20073","1"
"142601","20296","0"
"63615","20015","1"
"63615","19960","0"
"63615","20404","0"
"94476","20012","1"
"94476","20152","0"
"94476","19958","0"
"94476","20125","0"
"151746","20125","1"
"151746","19958","0"
"151746","20089","0"
"151746","20286","0"
"65587","19960","1"
"65587","20263","0"
"65587","20385","0"
"64735","20099","1"
"65297","20162","1"
"65297","20250","0"
"67043","20012","1"
"67041","20012","1"
"67043","19998","0"
"146894","20095","1"
"146894","19979","0"
"69825","20206","1"
"146894","20214","0"
"69825","20161","0"
"146894","20227","0"
"69825","20283","0"
"69825","20086","0"
"69825","20261","0"
"68617","20066","1"
"68617","20065","0"
"67044","19968","1"
"67044","20012","0"
"67044","20069","0"
"64233","20012","1"
"138182","19960","1"
"149961","20012","1"
"138182","20015","0"
"145919","19959","1"
"149961","20027","0"
"70801","20044","1"
"145919","19971","0"
"70801","20013","0"
"70801","20012","0"
"145919","19998","0"
"149961","20126","0"
"145919","20013","0"
"145919","20010","0"
"145919","19959","0"
"149961","20152","0"
"149961","20191","0"
"149961","19979","0"
"149961","20020","0"
"149961","20332","0"
"149961","20369","0"
"149961","20171","0"
"149961","20038","0"
"62668","20238","1"
"74959","19960","1"
"62668","20118","0"
"74959","20060","0"
"74959","20031","0"
"74959","20031","0"
"74376","20055","1"
"74376","20174","0"
"74376","20010","0"
"65159","20098","1"
"64983","20055","1"
"65159","20087","0"
"137985","20015","1"
"67015","20055","1"
"67015","19978","0"
"67015","20302","0"
"64983","20357","0"
"64983","20149","0"
"72396","19978","1"
"72396","20173","0"
"72396","19958","0"
"65588","20190","1"
"65588","20221","0"
"74866","20015","1"
"74866","20208","0"
"74866","20202","0"
"74866","20206","0"
"66714","19960","1"
"66714","20015","0"
"66714","20385","0"
"144600","19958","1"
"144600","20089","0"
"144600","20125","0"
"72569","19968","1"
"72569","20073","0"
"72569","20100","0"
"74651","19971","1"
"74651","20068","0"
"74651","20202","0"
"74651","20087","0"
"74651","19998","0"
