"MashupID","ApiID"
"86026","62789"
"82930","62715"
"141957","62687"
"141957","62685"
"81912","62687"
"86056","62809"
"85243","62687"
"84397","-1"
"84286","62687"
"86375","64759"
"84286","63452"
"85030","63008"
"86501","63008"
"87340","63463"
"84421","62687"
"87366","62687"
"83632","62687"
"82653","62687"
"80834","62683"
"86491","62687"
"86605","62687"
"80834","62687"
"86605","63008"
"86491","63008"
"83932","62687"
"83932","63006"
"82151","62687"
"85635","62687"
"83479","62687"
"85181","62687"
"86094","62687"
"86094","63452"
"84030","62687"
"84030","62875"
"83699","62687"
"83246","-1"
"83266","-1"
"82366","62715"
"81811","-1"
"83401","62677"
"87157","-1"
"84082","62668"
"83608","62687"
"84082","-1"
"83961","62715"
"83961","-1"
"83961","-1"
"83707","62683"
"86138","62677"
"86138","-1"
"86138","63360"
"86138","64093"
"88026","62687"
"86925","63904"
"86925","64656"
"84063","63500"
"84063","63824"
"86994","62687"
"86994","-1"
"84083","62668"
"84083","-1"
"81266","62687"
"82244","62687"
"82634","62687"
"138758","74171"
"83030","62687"
"138508","62687"
"138508","71483"
"147402","146505"
"147402","141651"
"87783","62687"
"82904","62677"
"87783","-1"
"82904","62683"
"82904","62715"
"82904","63035"
"81901","-1"
"81901","62687"
"88021","71268"
"84735","63530"
"83260","62687"
"84136","62677"
"84136","62683"
"84136","62715"
"84136","63035"
"82750","62841"
"82750","63111"
"84124","62687"
"84124","62908"
"85311","64146"
"86658","62677"
"138786","73917"
"86658","-1"
"86658","62715"
"86658","62918"
"86658","63243"
"86658","64974"
"86504","62769"
"86504","63904"
"86504","64609"
"86104","-1"
"86104","-1"
"86104","64742"
"85586","62666"
"85586","62681"
"85586","62715"
"85586","62761"
"85586","62918"
"85586","63008"
"85586","63238"
"85586","63662"
"85586","63752"
"83316","62687"
"80890","62687"
"80890","-1"
"85741","62837"
"87876","62687"
"87876","-1"
"87876","64471"
"87876","65305"
"81521","-1"
"81418","62677"
"81521","-1"
"81418","62683"
"81521","62825"
"81521","62859"
"82347","62666"
"82119","62687"
"138492","62666"
"138492","62918"
"138492","65415"
"138492","63064"
"138492","-1"
"138492","69745"
"138492","64140"
"138492","68881"
"138492","63178"
"138492","73120"
"83720","62691"
"138788","73917"
"83461","-1"
