"MashupID","CateID","IsPri"
"86026","20204","1"
"86026","20190","0"
"86026","20055","0"
"82930","20038","1"
"82930","19965","0"
"141957","20211","1"
"141957","20055","0"
"81912","19978","1"
"81912","20160","0"
"81912","20401","0"
"86056","20099","1"
"86056","20055","0"
"85243","20208","1"
"84397","20250","1"
"85243","20043","0"
"84397","20079","0"
"85243","20142","0"
"84397","20087","0"
"85243","19978","0"
"84397","19997","0"
"84286","19965","1"
"84286","19978","0"
"86375","20098","1"
"86375","20024","0"
"87527","20250","1"
"87527","19984","0"
"87527","20055","0"
"87340","19965","1"
"83961","20104","1"
"85635","20033","1"
"86501","20066","1"
"85030","20098","1"
"87340","20055","0"
"85030","20215","0"
"86501","20055","0"
"86501","20087","0"
"83961","20250","0"
"83961","20162","0"
"83961","20038","0"
"83961","19976","0"
"83961","20298","0"
"87340","20358","0"
"85635","19978","0"
"85635","20016","0"
"85635","20016","0"
"85635","20016","0"
"85635","20016","0"
"87366","19978","1"
"84421","20033","1"
"84421","19978","0"
"84421","20016","0"
"84421","20016","0"
"84421","20016","0"
"84421","20016","0"
"83632","20016","1"
"82653","20142","1"
"83632","20033","0"
"83632","20016","0"
"83632","19978","0"
"82653","19965","0"
"82653","19978","0"
"82653","20087","0"
"83632","20016","0"
"83632","20016","0"
"83479","19978","1"
"83479","20401","0"
"86491","19978","1"
"80834","19978","1"
"86491","20066","0"
"80834","20211","0"
"86491","20162","0"
"80834","20026","0"
"86491","20087","0"
"86491","20208","0"
"86605","19965","1"
"86605","20162","0"
"83932","20094","1"
"83932","20404","0"
"83932","20094","0"
"83932","19978","0"
"82151","19978","1"
"82151","20066","0"
"82151","20086","0"
"83699","19978","1"
"83699","20016","0"
"83401","20109","1"
"83401","19996","0"
"83401","20087","0"
"83401","20099","0"
"85181","20173","1"
"86094","19978","1"
"85181","20112","0"
"85181","19978","0"
"85181","19958","0"
"84030","19978","1"
"84030","20307","0"
"84030","19965","0"
"84030","20185","0"
"83246","19959","1"
"83246","20015","0"
"83246","20099","0"
"83266","20015","1"
"83266","20015","0"
"83266","20099","0"
"83266","19959","0"
"81811","19965","1"
"82366","20020","1"
"81811","19959","0"
"82366","20038","0"
"81811","20015","0"
"87157","20418","1"
"84082","20238","1"
"87157","20255","0"
"83608","19963","1"
"84082","19978","0"
"83608","20016","0"
"83608","20016","0"
"83608","19978","0"
"84082","20013","0"
"86138","20114","1"
"88026","19978","1"
"84063","20055","1"
"83707","20026","1"
"86138","19958","0"
